reference,sex_binary,aims_ancestry,aims_heterozygosity,tarsus.length,tail.length,wing.cord,kipps,distal,p10,bodyCondition,releaseDay,fall_detectDay1,fall_bearing1,t5_spring40
BI04H04,1,0.3521882742,0.5623451693,30.4,70,99,30.8,63.6,14,0.9407894737,247,NA,NA,0
BI04H05,1,0.2566713483,0.3518258427,29,67,95,30.4,58.4,15,1.189655172,247,264,137.9838,1
BI04H06,1,0.6013094418,0.7077877326,30,72,105,30.9,60.3,17,1.143333333,247,272,174.4921726,0
BI04H07,1,0.1696175637,0.2627478754,25.7,71,98,28.9,61,16,1.112840467,247,260,149.4931186,0
BI04H08,1,0.1774193548,0.221598878,29.3,70,95,30.8,58.8,16,1.003412969,247,272,137.9838,0
BI04H09,1,0.2169197397,0.2675343456,28.5,66,96,31,59,15,1.084210526,247,NA,NA,0
BI04H11,1,0.1283309958,0.1795231417,28,66,95,29,59.3,16,1.075,247,274,137.9838,0
BI04H12,0,0.233357453,0.3712011577,27,69,98,31.9,62.5,15,1.066666667,247,271,76.75789545,0
BI04H13,1,0.8120063191,0.3443917852,30,72,96,29.9,61.6,18,1.056666667,247,254,189.3982671,0
BI04H14,1,0.05748757984,0.0894251242,27.6,66,99,31,62.3,15,1.086956522,247,265,105.0084614,0
BI05H01,1,0.1264084507,0.1852112676,27.6,77,96,31.2,59.3,16,1.217391304,248,261,137.9838,0
BI05H02,0,0.7873352855,0.3638360176,28.6,67,93,30.2,56.8,15,1.122377622,248,260,174.4921726,0
BI05H03,1,0.1040644709,0.1352487737,27.4,68,100,31.1,60,17,1.149635036,248,NA,NA,0
BI05H04,1,0.1298381422,0.206192822,26.9,67,98,30,60.2,17,1.100371747,248,NA,NA,0
BI05H05,1,0.1476224273,0.1731724627,28.7,70,99,29.4,60.2,16,1.104529617,248,NA,NA,0
BI05H06,1,0.1790843806,0.3473967684,27.4,70,97,30.4,59.7,17,1.087591241,248,265,95.9694439,0
BI05H07,1,0.2191011236,0.3441011236,27.5,70,98,30.8,59.6,15,1.072727273,248,265,137.9838,1
BI05H10,1,0.1188936782,0.1975574713,28.2,71,100,31.2,61.2,15,1.074468085,248,NA,NA,0
BI05H11,1,0.07837648705,0.1035689293,26.4,67,98,28.3,63.9,14,1.09469697,248,NA,NA,0
BI05H12,1,0.1184397163,0.170212766,26.5,66,97,32,59.3,15,1.075471698,248,264,120.5847585,0
BI05H13,1,0.1459276018,0.2119155354,25.9,65,96,30.3,58.5,15,1.223938224,248,266,84.1399332,1
BI06H01,1,0.2546296296,0.2784900285,28.8,70,96,28.9,59.2,15,1.045138889,249,265,137.9838,0
BI06H02,1,0.1041076487,0.1558073654,28.5,66,95,31,60.4,13,1.042105263,249,NA,NA,0
BI06H03,1,0.4209219858,0.404964539,NA,71,96,30.3,60.2,14,NA,249,266,137.9838,0
BI06H04,0,0.1239224138,0.1860632184,27.9,64,94,29.1,65.5,15,1.046594982,249,NA,NA,0
BI06H05,1,0.05777616279,0.09375,27.6,67,95,29.5,57.7,16,1.097826087,249,262,130.8885936,0
BI06H06,0,0.301987225,0.3555713272,29.4,69,96,29,59,16,1.037414966,249,270,161.5504186,0
BI06H07,1,0.6239346591,0.3075284091,29.3,68,98,32,60.9,16,1.061433447,249,260,188.3528213,1
BI06H08,0,0.1253561254,0.2136752137,27.1,68,95,28.4,57.6,17,1.302583026,249,265,70.54108052,0
BI06H10,1,0.2182481752,0.3459854015,28.9,68,100,31.5,61.5,15,1.062283737,249,267,161.5504186,1
BI06H11,0,0.1711095101,0.1851585014,27.9,65,94,28.4,56.8,15,1.086021505,249,NA,NA,0
BI06H12,1,0.0878477306,0.140556369,28.5,70,97,28.9,64,13,1.021052632,249,NA,NA,0
BI06H13,1,0.08345120226,0.1159830269,27.1,68,99,30,62.6,NA,1.140221402,249,NA,NA,0
BI06H14,1,0.08996415771,0.1268817204,29,72,96,30.9,58.5,17,1.031034483,249,NA,NA,0
BI07H01,1,0.1734693878,0.1360544218,27.7,68,99,30,59.3,17,1.101083032,250,NA,NA,0
BI07H02,1,0.174315322,0.2168763879,27.9,67,96,30,NA,16,1.078853047,250,272,137.9838,0
BI07H03,1,0.3211864407,0.5322033898,29.5,73,99,30.4,63.1,16,1.169491525,250,261,137.9838,1
BI07H04,1,0.08140376266,0.1237337192,27.3,71,100,31.2,63.4,15,1.117216117,250,265,84.1399332,0
CH27H01,1,0.4657485876,0.5233050847,29.2,68,96,31.2,62,14,1.061643836,238,256,149.4931186,0
CH27H02,1,0.642461964,0.6210235131,28,70,96,30.1,55,16,1.085714286,238,NA,NA,0
CH27H03,0,0.340112202,0.5063113604,27.9,68,95,29.4,56,16,0.9498207885,238,264,149.4931186,0
CH27H04,0,0.6836874572,0.4640164496,28.7,66,92,28.2,54.8,14,0.9930313589,238,250,137.9838,0
CH27H05,1,0.5559006211,0.6397515528,30.7,70,99,30.3,58.4,15,1.081433225,238,NA,NA,0
CH28H01,1,0.04942279942,0.06565656566,24.8,69,93,28.3,56.8,16,1.068548387,239,253,95.9694439,0
CH28H02,0,0.4370677732,0.3098201936,26.5,65,92,29,52.6,15,1.041509434,239,NA,NA,0
CH28H03,1,0.1840447866,0.2323303009,26,67,95,30.3,54.4,19,1.061538462,239,254,161.5504186,0
CH28H04,1,0.1077464789,0.1338028169,27.2,71,99,33.3,59.3,16,1.150735294,239,249,84.1399332,0
CH28H06,1,0.5898491084,0.6680384088,28.5,71,97,30.2,57.4,15,1.105263158,239,251,176.960023,0
CH28H07,1,0.3738580464,0.1981728742,29,71,95,30.2,58.5,15,1.05862069,239,264,120.5847585,0
CH28H08,1,0.1870579915,0.2779349364,27.7,67,96,32.4,58.5,14,1.018050542,239,253,84.1399332,0
CH28H09,0,0.575206044,0.6902472527,29,66,94,28.8,53.4,18,0.9655172414,239,266,120.5847585,0
CH28H10,1,0.4833679834,0.3333333333,28.1,73,95,28.6,59.3,16,0.9928825623,239,NA,NA,0
CH28H11,1,0.07509025271,0.09819494585,28.4,70,96,31.6,54.7,19,1.073943662,239,260,137.9838,0
CH28H12,0,0.05157593123,0.0787965616,27,68,96,29.1,56.9,19,1.085185185,239,249,105.0084614,0
CH29H01,0,0.8510158014,0.1655379985,27.5,70,92,29,55.3,15,1.047272727,240,257,189.3982671,0
CH29H02,1,0.03338570306,0.0447761194,26.7,71,98,32.4,61,15,1.187265918,240,NA,NA,0
CH29H03,1,0.5334909377,0.1418439716,28.8,72,96,30.8,59.2,14,1.072916667,240,264,137.9838,0
CH29H04,1,0.1040296053,0.05016447368,27.6,73,95,29,57.2,16,1.112318841,240,257,105.0084614,0
CH29H05,0,0.5555102041,0.7208163265,28.2,63,91,29,52.9,15,0.9929078014,240,NA,NA,0
CH29H06,1,0.3484504913,0.477702192,26.8,68,94,28,57.7,14,1.138059701,240,254,137.9838,1
CH29H07,1,0.3035328046,0.2509012257,27.3,72,96,31.4,57.1,16,1.10989011,240,253,70.54108052,0
CH29H08,1,0.3709795322,0.5709064327,28.2,69,97,31.2,59.4,12,1.035460993,240,256,130.8885936,0
CH29H09,1,0.436121673,0.5802281369,29,66,95,29,52.5,16,1.193103448,240,260,193.5552107,0
CH29H10,1,0.2616017964,0.3166167665,29.5,71,99,33.7,56.9,20,1.081355932,240,260,149.4931186,0
CH29H13,1,0.08987915408,0.1072507553,28.8,66,96,31,57.3,15,1.09375,240,NA,NA,0
CH29H14,1,0.08491253644,0.1304664723,27.2,70,95,28.6,58.2,12,1.213235294,240,NA,NA,0
CH29H15,0,0.3700078309,0.476898982,26.3,70,90,29.5,55.5,16,1.224334601,240,257,130.8885936,0
CH30H01,1,0.1328538986,0.1748675246,28.3,67,96,32.7,59.2,12,1.049469965,241,265,95.9694439,0
CH30H02,1,0.1221590909,0.140625,29.6,70,100,32.9,57.9,16,1.162162162,241,268,84.1399332,0
CH30H03,0,0.1421499293,0.2319660537,27,69,92,28.2,53.8,20,1.077777778,241,254,70.54108052,1
CH30H04,1,0.1629814551,0.1904422254,29,73,102,32.3,59.8,16,1.175862069,241,256,105.0084614,0
CH30H05,1,0.2134831461,0.3940074906,28.5,66,94,31.6,55.6,15,1.157894737,241,NA,NA,0
CH30H06,1,0.05261221486,0.09345106696,28.7,68,98,33.2,57.8,17,1.027874564,241,265,137.9838,0
CH30H07,0,0.06080586081,0.09230769231,28,66,92,30.1,54.3,15,0.9464285714,241,257,120.5847585,0
CH30H08,0,0.5180722892,0.5993975904,28.1,71,95,29.8,55.2,16,1.120996441,241,NA,NA,0
CH30H09,1,0.102489019,0.1200585652,29,70,97,31.7,57.9,15,1.089655172,241,NA,NA,0
CH30H10,0,0.1610169492,0.2118644068,28.9,69,96,30.2,56.1,14,1.152249135,241,256,161.5504186,0
CH30H13,1,0.08538350217,0.1259044863,29.1,67,96,30.7,55.7,15,1.065292096,241,267,137.9838,0
CH31H01,1,0.3507281553,0.4279935275,28.2,71,96,29.5,56,16,1.127659574,242,253,84.1399332,1
CH31H02,0,0.144622093,0.1860465116,27.3,68,95,30.3,56.7,13,1.080586081,242,254,95.9694439,0
CH31H03,1,0.425389755,0.6889383816,27.4,77,98,31.4,59.9,15,1.094890511,242,NA,NA,0
CH31H04,1,0.0690668626,0.1087435709,27,71,97,30.2,55.2,17,1.118518519,242,NA,NA,1
CH31H05,1,0.8123268698,0.324099723,29.7,71,95,30.1,57.5,14,1.050505051,242,260,174.4921726,0
CH31H06,1,0.1245551601,0.1451957295,27.4,69,96,31.6,56.7,16,1.102189781,242,NA,NA,0
CH31H07,0,0.4427480916,0.4371963914,26.9,68,90,26.4,53.2,16,1.089219331,242,267,176.960023,0
CH31H10,1,0.1788732394,0.2352112676,28.8,68,94,28,56.4,15,1.072916667,242,267,161.5504186,0
CI03H01,1,0.0899859944,0.1155462185,27.6,72,99,31.7,57.5,16,1.268115942,245,256,137.9838,1
CI03H02,1,0.2229254571,0.3192686357,28.2,72,95,29.9,55.9,19,1.117021277,245,NA,NA,1
CI03H03,1,0.4695164681,0.414856342,28.1,71,99,30.7,59.7,16,1.149466192,245,262,137.9838,0
CI03H04,1,0.08564321251,0.1087420043,28,71,100,30.4,60.8,15,0.9892857143,245,NA,NA,0
CI03H05,1,0.09366096866,0.1346153846,29,70,98,33.2,59.9,15,1.027586207,245,257,137.9838,0
CI03H06,1,0.1686875892,0.227532097,28.2,69,95,28.9,57.9,15,1.053191489,245,NA,NA,0
CI04H01,1,0.406405694,0.2761565836,27,66,93,27.9,52.6,14,1.02962963,246,264,137.9838,1
CI04H02,1,0.2159010601,0.3187279152,27.4,68,96,30.2,56.4,17,1.164233577,246,262,124.6896071,1
CI04H03,1,0.4674597621,0.5584324703,26.3,68,95,31.8,58.2,13,1.144486692,246,259,137.9838,0
CI04H04,1,0.735375086,0.4686854783,27.5,71,96,31.3,57.7,15,1.029090909,246,260,176.960023,0
CI04H05,1,0.1297468354,0.176511955,28.9,69,96,30,57.9,14,0.9619377163,246,265,120.5847585,0
CI04H06,1,0.0925539318,0.1224773834,28.4,70,100,31.1,60.4,15,1.10915493,246,260,130.8885936,0
CI04H07,1,0.5641114983,0.6668989547,29.5,70,98,31.5,57.8,15,1.206779661,246,263,176.960023,0
CI04H08,1,0.5111498258,0.5860627178,28.9,70,92,30.8,57.6,14,1.041522491,246,251,76.75789545,0
CI04H09,1,0.06038461538,0.09461538462,28.5,72,100,33.1,60.5,15,1.010526316,246,NA,NA,0
CI05H01,1,0.09218077475,0.1284074605,28.3,68,96,31.1,55.9,14,1.049469965,247,265,70.54108052,0
CI05H02,1,0.3461538462,0.4897959184,28.1,70,94,29.4,52.3,18,1.145907473,247,NA,NA,0
CI05H03,1,0.1422893482,0.2305246423,28.7,66,92,27.8,56.3,13,1.013937282,247,267,137.9838,1
CI05H04,1,0.4824561404,0.6125095347,28.7,70,94,31.5,54.3,16,1.059233449,247,267,161.5504186,0
CI05H05,1,0.05431131019,0.07950727884,27.3,69,95,28,57.3,13,1.091575092,247,274,120.5847585,0
CI05H06,1,0.08296783626,0.1279239766,28.6,66,95,28.9,53.1,15,1.013986014,247,275,176.960023,0
CI06H01,1,0.1942114094,0.2290268456,29,70,96,29,56.9,15,1.024137931,248,NA,NA,0
CI06H02,0,0.2233429395,0.3198847262,26.9,66,92,29.7,57.3,14,1.092936803,248,263,137.9838,1
CI06H03,1,0.1431593794,0.1184767278,27.4,66,94,28.7,57.5,13,1.131386861,248,271,93.4026775,0
CI06H04,1,0.7807272727,0.3949090909,27.9,71,94,29.3,NA,16,1.021505376,248,263,176.960023,0
CI06H05,1,0.1344389555,0.1672547636,28.6,70,96,31.2,56.9,17,1.185314685,248,NA,NA,0
CI06H06,1,0.08605974395,0.09957325747,27.7,69,96,30.5,59.4,12,1.173285199,248,264,95.9694439,0
CI06H07,1,0.1015228426,0.1493836113,28.6,66,95,28.7,55.5,16,1.031468531,248,274,95.9694439,1
CI06H08,1,0.4299781182,0.5652808169,27.9,67,95,27.8,54.5,16,1.11827957,248,NA,NA,0
CI06H09,1,0.2666195191,0.297029703,27.1,67,95,31.3,55.1,16,1.394833948,248,259,95.9694439,0
CI06H10,1,0.232079489,0.3591199432,27.5,70,97,30,57.3,17,1.167272727,248,264,120.5847585,0
CI06H11,1,0.06144393241,0.089093702,29.8,66,96,29.6,56.9,14,1.120805369,248,NA,NA,0
CI07H01,1,0.7536454336,0.3561013047,28.8,74,95,30.4,54.4,14,1.059027778,249,276,191.8735431,0
CI07H02,1,0.6716147719,0.546705286,29,68,95,29.4,66.5,15,1.062068966,249,NA,NA,0
CI07H03,0,0.4008,0.4896,27.2,67,95,27.3,53.5,15,1.033088235,249,259,189.3982671,0
CI07H04,1,0.6498194946,0.5935018051,27.6,70,94,28.4,54.6,15,1.086956522,249,NA,NA,0
CI09H01,1,0.05975327679,0.09791827294,27.1,69,98,31.7,59.5,18,1.088560886,251,NA,NA,0
CI09H02,1,0.6791845494,0.5329041488,29.8,71,97,27.1,55.4,17,1.043624161,251,264,189.3982671,0
