reference,aims_ancestry,aims_heterozygosity,tarsus.length,weight,tail.length,wing.cord,kipps,distal,carpal,p7,p8,p9,p10,bodyCondition,releaseDay,fall_detectDay1,fall_bearing1,range_norm_tarsus.length,range_norm_weight,range_norm_tail.length,range_norm_wing.cord,range_norm_kipps,range_norm_distal,range_norm_carpal,range_norm_p7,range_norm_p8,range_norm_p9,range_norm_p10,range_norm_releaseDay,range_norm_fall_detectDay1,range_norm_fall_bearing1,range_norm_bodyCondition,t5_spring40
BH31H13,0.1124301676,0.1368715084,27.3,30,72,97,29.8,56.8,67,76,75,72,18,1.098901099,243,NA,NA,0.4032258065,0.5,0.6470588235,0.5294117647,0.5272727273,0.3169014085,0.6363636364,0.4285714286,0.3846153846,0.5555555556,0.75,0.652173913,NA,NA,0.4967263358,0
BI01H01,0.325036075,0.398989899,29.5,29.8,70,97,31.4,58.5,67,76,76,71,14,1.010169492,244,271,174.4921726,0.7580645161,0.4885057471,0.5294117647,0.5294117647,0.6727272727,0.4366197183,0.6363636364,0.4285714286,0.4615384615,0.5,0.25,0.6956521739,0.775,0.7317035141,0.3458262878,1
BI01H02,0.06703296703,0.1267399267,29,29.7,69,96,31.4,57.8,65,76,76,75,18,1.024137931,244,262,174.4921726,0.6774193548,0.4827586207,0.4705882353,0.4705882353,0.6727272727,0.3873239437,0.4545454545,0.4285714286,0.4615384615,0.7222222222,0.75,0.6956521739,0.55,0.7317035141,0.3695815003,1
BI01H03,0.3061863743,0.4886452623,29.3,30.7,70,98,28.5,62.3,68,80,78,72,15,1.04778157,244,260,188.3528213,0.7258064516,0.5402298851,0.5294117647,0.5882352941,0.4090909091,0.7042253521,0.7272727273,0.7142857143,0.6153846154,0.5555555556,0.375,0.6956521739,0.5,0.8292675239,0.4097906925,1
BI01H04,0.07465900933,0.1234745154,28,30.7,78,96,30,58.4,65,78,76,71,16,1.096428571,244,265,105.0084614,0.5161290323,0.5402298851,1,0.4705882353,0.5454545455,0.4295774648,0.4545454545,0.5714285714,0.4615384615,0.5,0.5,0.6956521739,0.625,0.2426131678,0.4925214698,0
BI01H05,0.05740072202,0.08014440433,28.5,30.4,73,101,33.4,63.6,70,82,82,78,16,1.066666667,244,NA,NA,0.5967741935,0.5229885057,0.7058823529,0.7647058824,0.8545454545,0.7957746479,0.9090909091,0.8571428571,0.9230769231,0.8888888889,0.5,0.6956521739,NA,NA,0.4419073427,0
BI01H06,0.4988954345,0.7488954345,29.2,32.7,74,100,32.8,56,66,80,78,75,20,1.119863014,244,267,149.4931186,0.7096774194,0.6551724138,0.7647058824,0.7058823529,0.8,0.2605633803,0.5454545455,0.7142857143,0.6153846154,0.7222222222,1,0.6956521739,0.675,0.5557371506,0.5323748949,0
BI01H07,0.1232368226,0.2227171492,27.8,30.2,72,100,31.5,60.9,67,80,80,75,16,1.086330935,244,260,130.8885936,0.4838709677,0.5114942529,0.6470588235,0.7058823529,0.6818181818,0.6056338028,0.6363636364,0.7142857143,0.7692307692,0.7222222222,0.5,0.6956521739,0.5,0.4247813711,0.4753490796,0
BI01H08,0.3867521368,0.3703703704,29,31.3,68,97,31,58.4,67,77,77,72,15,1.079310345,244,261,137.9838,0.6774193548,0.5747126437,0.4117647059,0.5294117647,0.6363636364,0.4295774648,0.6363636364,0.5,0.5384615385,0.5555555556,0.375,0.6956521739,0.525,0.4747239672,0.4634096202,0
BI01H09,0.3591785415,0.4132439229,28.7,30.7,67,94,28.6,58.4,66,75,71,70,14,1.069686411,244,NA,NA,0.6290322581,0.5402298851,0.3529411765,0.3529411765,0.4181818182,0.4295774648,0.5454545455,0.3571428571,0.07692307692,0.4444444444,0.25,0.6956521739,NA,NA,0.4470428249,0
BI01H10,0.5159461375,0.5712260808,27.1,29.2,69,94,29.3,57,65,76,73,69,16,1.077490775,244,265,174.4921726,0.3709677419,0.4540229885,0.4705882353,0.3529411765,0.4818181818,0.3309859155,0.4545454545,0.4285714286,0.2307692308,0.3888888889,0.5,0.6956521739,0.625,0.7317035141,0.4603151965,0
BI01H11,0.1484780995,0.2657757981,27.5,31.6,70,96,29.1,58.3,65,75,75,70,16,1.149090909,244,NA,NA,0.435483871,0.591954023,0.5294117647,0.4705882353,0.4636363636,0.4225352113,0.4545454545,0.3571428571,0.3846153846,0.4444444444,0.5,0.6956521739,NA,NA,0.5820808671,0
BI01H12,0.3253571429,0.325,29.5,35.6,72,101,29.8,60.4,69,80,78,74,16,1.206779661,244,254,105.0084614,0.7580645161,0.8218390805,0.6470588235,0.7647058824,0.5272727273,0.5704225352,0.8181818182,0.7142857143,0.6153846154,0.6666666667,0.5,0.6956521739,0.35,0.2426131678,0.6801883588,1
BI01H13,0.3675832127,0.5701881331,29.1,33.5,70,99,31.1,58.4,66,76,77,75,16,1.151202749,244,264,137.9838,0.6935483871,0.7011494253,0.5294117647,0.6470588235,0.6454545455,0.4295774648,0.5454545455,0.4285714286,0.5384615385,0.7222222222,0.5,0.6956521739,0.6,0.4747239672,0.5856723356,0
BI01H14,0.2005347594,0.3231474408,28,32.5,66,96,31.2,58.5,65,76,74,70,16,1.160714286,244,261,137.9838,0.5161290323,0.6436781609,0.2941176471,0.4705882353,0.6545454545,0.4366197183,0.4545454545,0.4285714286,0.3076923077,0.4444444444,0.5,0.6956521739,0.525,0.4747239672,0.6018479844,0
BI02H01,0.1384136858,0.2737169518,27.9,36.9,70,97,29.1,59.8,66,77,76,72,15,1.322580645,245,256,95.9694439,0.5,0.8965517241,0.5294117647,0.5294117647,0.4636363636,0.5281690141,0.5454545455,0.5,0.4615384615,0.5555555556,0.375,0.7391304348,0.4,0.1789882383,0.8771235275,1
BI02H02,0.2878895184,0.459631728,26.7,28.6,64,95,29.3,60,67,75,75,69,14,1.071161049,245,255,161.5504186,0.3064516129,0.4195402299,0.1764705882,0.4117647059,0.4818181818,0.5422535211,0.6363636364,0.3571428571,0.3846153846,0.3888888889,0.25,0.7391304348,0.375,0.6406075312,0.4495506446,0
BI02H03,0.2171003717,0.4237918216,28.6,31.7,70,97,29.1,58.6,67,77,77,73,17,1.108391608,245,251,137.9838,0.6129032258,0.5977011494,0.5294117647,0.5294117647,0.4636363636,0.4436619718,0.6363636364,0.5,0.5384615385,0.6111111111,0.625,0.7391304348,0.275,0.4747239672,0.5128662253,0
BI02H04,0.2971326165,0.4594982079,27.4,29.8,66,93,30,57,63,74,73,70,14,1.087591241,245,265,137.9838,0.4193548387,0.4885057471,0.2941176471,0.2941176471,0.5454545455,0.3309859155,0.2727272727,0.2857142857,0.2307692308,0.4444444444,0.25,0.7391304348,0.625,0.4747239672,0.4774923991,0
BI02H05,0.364280652,0.6321757619,29.8,31.4,71,98,28.5,61.5,69,78,77,75,15,1.053691275,245,264,76.75789545,0.8064516129,0.5804597701,0.5882352941,0.5882352941,0.4090909091,0.6478873239,0.8181818182,0.5714285714,0.5384615385,0.7222222222,0.375,0.7391304348,0.6,0.04375966855,0.419840942,0
BI02H06,0.5450674237,0.8105039035,27.7,32.5,65,94,29,59.4,64,74,74,67,13,1.173285199,245,266,179.856459,0.4677419355,0.6436781609,0.2352941176,0.3529411765,0.4545454545,0.5,0.3636363636,0.2857142857,0.3076923077,0.2777777778,0.125,0.7391304348,0.65,0.7694623018,0.6232265147,0
BI02H07,0.106092437,0.112745098,29.2,28.9,71,102,35,62.3,68,80,80,76,18,0.9897260274,245,NA,NA,0.7096774194,0.4367816092,0.5882352941,0.8235294118,1,0.7042253521,0.7272727273,0.7142857143,0.7692307692,0.7777777778,0.75,0.7391304348,NA,NA,0.3110594239,0
BI02H08,0.4202586207,0.6623563218,28.9,31.2,70,97,30.9,59,65,75,74,69,13,1.079584775,245,256,105.0084614,0.6612903226,0.5689655172,0.5294117647,0.5294117647,0.6272727273,0.4718309859,0.4545454545,0.3571428571,0.3076923077,0.3888888889,0.125,0.7391304348,0.4,0.2426131678,0.4638763258,0
BI02H09,0.5854253835,0.7133891213,28.2,29.1,70,96,30,59.7,65,76,75,71,15,1.031914894,245,265,137.9838,0.5483870968,0.4482758621,0.5294117647,0.4705882353,0.5454545455,0.5211267606,0.4545454545,0.4285714286,0.3846153846,0.5,0.375,0.7391304348,0.625,0.4747239672,0.3828072726,0
BI02H10,0.5207746479,0.5161971831,27.8,32.5,66,93,29.9,58.4,65,75,73,68,15,1.169064748,245,272,137.9838,0.4838709677,0.6436781609,0.2941176471,0.2941176471,0.5363636364,0.4295774648,0.4545454545,0.3571428571,0.2307692308,0.3333333333,0.375,0.7391304348,0.8,0.4747239672,0.6160490705,1
BI02H11,0.2007762879,0.3126323218,29,32.6,70,96,29.5,58.7,67,77,77,72,16,1.124137931,245,270,95.9694439,0.6774193548,0.6494252874,0.5294117647,0.4705882353,0.5,0.4507042254,0.6363636364,0.5,0.5384615385,0.5555555556,0.5,0.7391304348,0.75,0.1789882383,0.5396449675,0
BI02H12,0.2232207045,0.3213515457,25.1,32.7,71,96,27.4,62.4,66,79,76,74,14,1.302788845,245,255,137.9838,0.04838709677,0.6551724138,0.5882352941,0.4705882353,0.3090909091,0.7112676056,0.5454545455,0.6428571429,0.4615384615,0.6666666667,0.25,0.7391304348,0.375,0.4747239672,0.8434649053,1
BI03H01,0.2526652452,0.3987206823,26.6,30.2,70,96,31.7,59.4,66,77,76,71,16,1.135338346,246,272,137.9838,0.2903225806,0.5114942529,0.5294117647,0.4705882353,0.7,0.5,0.5454545455,0.5,0.4615384615,0.5,0.5,0.7826086957,0.8,0.4747239672,0.5586927813,0
BI03H02,0.225,0.3471830986,27,29.3,68,94,30.9,60.4,65,76,76,73,14,1.085185185,246,261,120.5847585,0.3548387097,0.4597701149,0.4117647059,0.3529411765,0.6272727273,0.5704225352,0.4545454545,0.4285714286,0.4615384615,0.6111111111,0.25,0.7826086957,0.525,0.3522534907,0.4734005774,0
BI03H03,0.3557353976,0.5383532723,29,32.1,70,94,31.6,57.8,65,75,74,71,13,1.106896552,246,261,137.9838,0.6774193548,0.6206896552,0.5294117647,0.3529411765,0.6909090909,0.3873239437,0.4545454545,0.3571428571,0.3076923077,0.5,0.125,0.7826086957,0.525,0.4747239672,0.5103236801,0
BI03H04,0.2960954447,0.4201012292,28.5,31.3,72,98,29,59.9,69,79,78,73,17,1.098245614,246,264,95.9694439,0.5967741935,0.5747126437,0.6470588235,0.5882352941,0.4545454545,0.5352112676,0.8181818182,0.6428571429,0.6153846154,0.6111111111,0.625,0.7826086957,0.6,0.1789882383,0.4956115955,0
BI03H05,0.09087743733,0.1288300836,28.5,31.6,68,93,30.2,57.7,65,75,73,69,15,1.10877193,246,NA,NA,0.5967741935,0.591954023,0.4117647059,0.2941176471,0.5636363636,0.3802816901,0.4545454545,0.3571428571,0.2307692308,0.3888888889,0.375,0.7826086957,NA,NA,0.5135130131,0
BI03H06,0.3877180233,0.5574127907,30.1,35.7,71,96,27.5,61.3,68,79,76,72,17,1.186046512,246,273,124.6919836,0.8548387097,0.8275862069,0.5882352941,0.4705882353,0.3181818182,0.6338028169,0.7272727273,0.6428571429,0.4615384615,0.5555555556,0.625,0.7826086957,0.825,0.3811639234,0.6449288461,0
BI03H07,0.1640855457,0.2735988201,29.5,32.3,70,99,32,61.6,68,79,78,74,16,1.094915254,246,NA,NA,0.7580645161,0.632183908,0.5294117647,0.6470588235,0.7272727273,0.6549295775,0.7272727273,0.6428571429,0.6153846154,0.6666666667,0.5,0.7826086957,NA,NA,0.4899478701,0
BI03H08,0.2395906845,0.3959068454,26.9,31.2,67,96,30.9,61,65,77,76,72,15,1.159851301,246,280,179.856459,0.3387096774,0.5689655172,0.3529411765,0.4705882353,0.6272727273,0.6126760563,0.4545454545,0.5,0.4615384615,0.5555555556,0.375,0.7826086957,1,0.7694623018,0.6003803629,0
BI04H01,0.2482369535,0.3794076164,29.4,33.6,70,102,33.4,59.5,67,79,80,76,20,1.142857143,247,254,137.9838,0.7419354839,0.7068965517,0.5294117647,0.8235294118,0.8545454545,0.5070422535,0.6363636364,0.6428571429,0.7692307692,0.7777777778,1,0.8260869565,0.35,0.4747239672,0.5714795082,1
BI04H02,0.1010638298,0.1496453901,26.6,29.3,66,92,28.8,58.1,65,75,73,70,14,1.101503759,247,NA,NA,0.2903225806,0.4597701149,0.2941176471,0.2352941176,0.4363636364,0.4084507042,0.4545454545,0.3571428571,0.2307692308,0.4444444444,0.25,0.8260869565,NA,NA,0.5011525105,0
BI04H03,0.4332634521,0.4696016771,28.8,34,68,96,31.2,60.7,66,75,75,70,14,1.180555556,247,262,120.5847585,0.6451612903,0.7298850575,0.4117647059,0.4705882353,0.6545454545,0.5915492958,0.5454545455,0.3571428571,0.3846153846,0.4444444444,0.25,0.8260869565,0.55,0.3522534907,0.6355907359,0
BI04H04,0.3521882742,0.5623451693,30.4,28.6,70,99,30.8,63.6,68,78,78,75,14,0.9407894737,247,NA,NA,0.9032258065,0.4195402299,0.5294117647,0.6470588235,0.6181818182,0.7957746479,0.7272727273,0.5714285714,0.6153846154,0.7222222222,0.25,0.8260869565,NA,NA,0.2278362239,0
BI04H05,0.2566713483,0.3518258427,29,34.5,67,95,30.4,58.4,67,76,76,71,15,1.189655172,247,264,137.9838,0.6774193548,0.7586206897,0.3529411765,0.4117647059,0.5818181818,0.4295774648,0.6363636364,0.4285714286,0.4615384615,0.5,0.375,0.8260869565,0.6,0.4747239672,0.6510658598,1
BI04H06,0.6013094418,0.7077877326,30,34.3,72,105,30.9,60.3,70,78,77,75,17,1.143333333,247,272,174.4921726,0.8387096774,0.7471264368,0.6470588235,1,0.6272727273,0.5633802817,0.9090909091,0.5714285714,0.5384615385,0.7222222222,0.625,0.8260869565,0.8,0.7317035141,0.5722893342,0
BI04H07,0.1696175637,0.2627478754,25.7,28.6,71,98,28.9,61,66,79,77,72,16,1.112840467,247,260,149.4931186,0.1451612903,0.4195402299,0.5882352941,0.5882352941,0.4454545455,0.6126760563,0.5454545455,0.6428571429,0.5384615385,0.5555555556,0.5,0.8260869565,0.5,0.5557371506,0.5204321083,0
BI04H08,0.1774193548,0.221598878,29.3,29.4,70,95,30.8,58.8,66,78,75,72,16,1.003412969,247,272,137.9838,0.7258064516,0.4655172414,0.5294117647,0.4117647059,0.6181818182,0.4577464789,0.5454545455,0.5714285714,0.3846153846,0.5555555556,0.5,0.8260869565,0.8,0.4747239672,0.3343359118,0
BI04H09,0.2169197397,0.2675343456,28.5,30.9,66,96,31,59,65,75,75,72,15,1.084210526,247,NA,NA,0.5967741935,0.5517241379,0.2941176471,0.4705882353,0.6363636364,0.4718309859,0.4545454545,0.3571428571,0.3846153846,0.5555555556,0.375,0.8260869565,NA,NA,0.4717430387,0
BI04H11,0.1283309958,0.1795231417,28,30.1,66,95,29,59.3,65,77,75,71,16,1.075,247,274,137.9838,0.5161290323,0.5057471264,0.2941176471,0.4117647059,0.4545454545,0.4929577465,0.4545454545,0.5,0.3846153846,0.5,0.5,0.8260869565,0.85,0.4747239672,0.4560792983,0
BI04H12,0.233357453,0.3712011577,27,28.8,69,98,31.9,62.5,65,79,78,74,15,1.066666667,247,271,76.75789545,0.3548387097,0.4310344828,0.4705882353,0.5882352941,0.7181818182,0.7183098592,0.4545454545,0.6428571429,0.6153846154,0.6666666667,0.375,0.8260869565,0.775,0.04375966855,0.4419073427,0
BI04H13,0.8120063191,0.3443917852,30,31.7,72,96,29.9,61.6,67,76,75,72,18,1.056666667,247,254,189.3982671,0.8387096774,0.5977011494,0.6470588235,0.4705882353,0.5363636364,0.6549295775,0.6363636364,0.4285714286,0.3846153846,0.5555555556,0.75,0.8260869565,0.35,0.8366263343,0.424900996,0
BI04H14,0.05748757984,0.0894251242,27.6,30,66,99,31,62.3,68,78,77,72,15,1.086956522,247,265,105.0084614,0.4516129032,0.5,0.2941176471,0.6470588235,0.6363636364,0.7042253521,0.7272727273,0.5714285714,0.5384615385,0.5555555556,0.375,0.8260869565,0.625,0.2426131678,0.4764129737,0
BI05H01,0.1264084507,0.1852112676,27.6,33.6,77,96,31.2,59.3,67,77,76,NA,16,1.217391304,248,261,137.9838,0.4516129032,0.7068965517,0.9411764706,0.4705882353,0.6545454545,0.4929577465,0.6363636364,0.5,0.4615384615,NA,0.5,0.8695652174,0.525,0.4747239672,0.6982348874,0
BI05H02,0.7873352855,0.3638360176,28.6,32.1,67,93,30.2,56.8,64,73,72,67,15,1.122377622,248,260,174.4921726,0.6129032258,0.6206896552,0.3529411765,0.2941176471,0.5636363636,0.3169014085,0.3636363636,0.2142857143,0.1538461538,0.2777777778,0.375,0.8695652174,0.5,0.7317035141,0.5366513256,0
BI05H03,0.1040644709,0.1352487737,27.4,31.5,68,100,31.1,60,66,79,77,73,17,1.149635036,248,NA,NA,0.4193548387,0.5862068966,0.4117647059,0.7058823529,0.6454545455,0.5422535211,0.5454545455,0.6428571429,0.5384615385,0.6111111111,0.625,0.8695652174,NA,NA,0.5830062291,0
BI05H04,0.1298381422,0.206192822,26.9,29.6,67,98,30,60.2,67,79,79,74,17,1.100371747,248,NA,NA,0.3387096774,0.4770114943,0.3529411765,0.5882352941,0.5454545455,0.5563380282,0.6363636364,0.6428571429,0.6923076923,0.6666666667,0.625,0.8695652174,NA,NA,0.4992273713,0
BI05H05,0.1476224273,0.1731724627,28.7,31.7,70,99,29.4,60.2,67,78,77,73,16,1.104529617,248,NA,NA,0.6290322581,0.5977011494,0.5294117647,0.6470588235,0.4909090909,0.5563380282,0.6363636364,0.5714285714,0.5384615385,0.6111111111,0.5,0.8695652174,NA,NA,0.5062983883,0
BI05H06,0.1790843806,0.3473967684,27.4,29.8,70,97,30.4,59.7,67,77,77,72,17,1.087591241,248,265,95.9694439,0.4193548387,0.4885057471,0.5294117647,0.5294117647,0.5818181818,0.5211267606,0.6363636364,0.5,0.5384615385,0.5555555556,0.625,0.8695652174,0.625,0.1789882383,0.4774923991,0
BI05H07,0.2191011236,0.3441011236,27.5,29.5,70,98,30.8,59.6,66,75,76,74,15,1.072727273,248,265,137.9838,0.435483871,0.4712643678,0.5294117647,0.5882352941,0.6181818182,0.514084507,0.5454545455,0.3571428571,0.4615384615,0.6666666667,0.375,0.8695652174,0.625,0.4747239672,0.4522142195,1
BI05H10,0.1188936782,0.1975574713,28.2,30.3,71,100,31.2,61.2,68,79,79,74,15,1.074468085,248,NA,NA,0.5483870968,0.5172413793,0.5882352941,0.7058823529,0.6545454545,0.6267605634,0.7272727273,0.6428571429,0.6923076923,0.6666666667,0.375,0.8695652174,NA,NA,0.4551747054,0
BI05H11,0.07837648705,0.1035689293,26.4,28.9,67,98,28.3,63.9,67,79,78,74,14,1.09469697,248,NA,NA,0.2580645161,0.4367816092,0.3529411765,0.5882352941,0.3909090909,0.8169014085,0.6363636364,0.6428571429,0.6153846154,0.6666666667,0.25,0.8695652174,NA,NA,0.4895766479,0
BI05H12,0.1184397163,0.170212766,26.5,28.5,66,97,32,59.3,65,77,76,71,15,1.075471698,248,264,120.5847585,0.2741935484,0.4137931034,0.2941176471,0.5294117647,0.7272727273,0.4929577465,0.4545454545,0.5,0.4615384615,0.5,0.375,0.8695652174,0.6,0.3522534907,0.4568814845,0
BI05H13,0.1459276018,0.2119155354,25.9,31.7,65,96,30.3,58.5,66,75,76,72,15,1.223938224,248,266,84.1399332,0.1774193548,0.5977011494,0.2352941176,0.4705882353,0.5727272727,0.4366197183,0.5454545455,0.3571428571,0.4615384615,0.5555555556,0.375,0.8695652174,0.65,0.09572124827,0.7093688059,1
BI06H01,0.2546296296,0.2784900285,28.8,30.1,70,96,28.9,59.2,66,76,75,70,15,1.045138889,249,265,137.9838,0.6451612903,0.5057471264,0.5294117647,0.4705882353,0.4454545455,0.485915493,0.5454545455,0.4285714286,0.3846153846,0.4444444444,0.375,0.9130434783,0.625,0.4747239672,0.4052964574,0
BI06H02,0.1041076487,0.1558073654,28.5,29.7,66,95,31,60.4,66,75,74,71,13,1.042105263,249,NA,NA,0.5967741935,0.4827586207,0.2941176471,0.4117647059,0.6363636364,0.5704225352,0.5454545455,0.3571428571,0.3076923077,0.5,0.125,0.9130434783,NA,NA,0.4001373683,0
BI06H03,0.4209219858,0.404964539,NA,28.4,71,96,30.3,60.2,65,76,75,72,14,NA,249,266,137.9838,NA,0.408045977,0.5882352941,0.4705882353,0.5727272727,0.5563380282,0.4545454545,0.4285714286,0.3846153846,0.5555555556,0.25,0.9130434783,0.65,0.4747239672,NA,0
BI06H04,0.1239224138,0.1860632184,27.9,29.2,64,94,29.1,65.5,63,74,74,70,15,1.046594982,249,NA,NA,0.5,0.4540229885,0.1764705882,0.3529411765,0.4636363636,0.9295774648,0.2727272727,0.2857142857,0.3076923077,0.4444444444,0.375,0.9130434783,NA,NA,0.40777274,0
BI06H05,0.05777616279,0.09375,27.6,30.3,67,95,29.5,57.7,66,76,75,71,16,1.097826087,249,262,130.8885936,0.4516129032,0.5172413793,0.3529411765,0.4117647059,0.5,0.3802816901,0.5454545455,0.4285714286,0.3846153846,0.5,0.5,0.9130434783,0.55,0.4247813711,0.4948981332,0
BI06H06,0.301987225,0.3555713272,29.4,30.5,69,96,29,59,65,76,76,71,16,1.037414966,249,270,161.5504186,0.7419354839,0.5287356322,0.4705882353,0.4705882353,0.4545454545,0.4718309859,0.4545454545,0.4285714286,0.4615384615,0.5,0.5,0.9130434783,0.75,0.6406075312,0.3921608863,0
BI06H07,0.6239346591,0.3075284091,29.3,31.1,68,98,32,60.9,66,78,78,74,16,1.061433447,249,260,188.3528213,0.7258064516,0.5632183908,0.4117647059,0.5882352941,0.7272727273,0.6056338028,0.5454545455,0.5714285714,0.6153846154,0.6666666667,0.5,0.9130434783,0.5,0.8292675239,0.4330075481,1
BI06H08,0.1253561254,0.2136752137,27.1,35.3,68,95,28.4,57.6,67,75,75,70,17,1.302583026,249,265,70.54108052,0.3709677419,0.8045977011,0.4117647059,0.4117647059,0.4,0.3732394366,0.6363636364,0.3571428571,0.3846153846,0.4444444444,0.625,0.9130434783,0.625,0,0.8431148827,0
BI06H10,0.2182481752,0.3459854015,28.9,30.7,68,100,31.5,61.5,66,77,77,74,15,1.062283737,249,267,161.5504186,0.6612903226,0.5402298851,0.4117647059,0.7058823529,0.6818181818,0.6478873239,0.5454545455,0.5,0.5384615385,0.6666666667,0.375,0.9130434783,0.675,0.6406075312,0.4344535806,1
BI06H11,0.1711095101,0.1851585014,27.9,30.3,65,94,28.4,56.8,66,74,73,68,15,1.086021505,249,NA,NA,0.5,0.5172413793,0.2352941176,0.3529411765,0.4,0.3169014085,0.5454545455,0.2857142857,0.2307692308,0.3333333333,0.375,0.9130434783,NA,NA,0.4748228525,0
BI06H12,0.0878477306,0.140556369,28.5,29.1,70,97,28.9,64,69,81,79,73,13,1.021052632,249,NA,NA,0.5967741935,0.4482758621,0.5294117647,0.5294117647,0.4454545455,0.823943662,0.8181818182,0.7857142857,0.6923076923,0.6111111111,0.125,0.9130434783,NA,NA,0.3643345331,0
BI06H13,0.08345120226,0.1159830269,27.1,30.9,68,99,30,62.6,67,NA,NA,NA,NA,1.140221402,249,NA,NA,0.3709677419,0.5517241379,0.4117647059,0.6470588235,0.5454545455,0.7253521127,0.6363636364,NA,NA,NA,NA,0.9130434783,NA,NA,0.5669970762,0
BI06H14,0.08996415771,0.1268817204,29,29.9,72,96,30.9,58.5,66,79,79,75,17,1.031034483,249,NA,NA,0.6774193548,0.4942528736,0.6470588235,0.4705882353,0.6272727273,0.4366197183,0.5454545455,0.6428571429,0.6923076923,0.7222222222,0.625,0.9130434783,NA,NA,0.3813100153,0
BI07H01,0.1734693878,0.1360544218,27.7,30.5,68,99,30,59.3,67,78,78,75,17,1.101083032,250,NA,NA,0.4677419355,0.5287356322,0.4117647059,0.6470588235,0.5454545455,0.4929577465,0.6363636364,0.5714285714,0.6153846154,0.7222222222,0.625,0.9565217391,NA,NA,0.5004370077,0
BI07H02,0.174315322,0.2168763879,27.9,30.1,67,96,30,NA,65,75,75,70,16,1.078853047,250,272,137.9838,0.5,0.5057471264,0.3529411765,0.4705882353,0.5454545455,NA,0.4545454545,0.3571428571,0.3846153846,0.4444444444,0.5,0.9565217391,0.8,0.4747239672,0.4626319229,0
BI07H03,0.3211864407,0.5322033898,29.5,34.5,73,99,30.4,63.1,69,80,81,74,16,1.169491525,250,261,137.9838,0.7580645161,0.7586206897,0.7058823529,0.6470588235,0.5818181818,0.7605633803,0.8181818182,0.7142857143,0.8461538462,0.6666666667,0.5,0.9565217391,0.525,0.4747239672,0.6167748626,1
BI07H04,0.08140376266,0.1237337192,27.3,30.5,71,100,31.2,63.4,67,79,79,76,15,1.117216117,250,265,84.1399332,0.4032258065,0.5287356322,0.5882352941,0.7058823529,0.6545454545,0.7816901408,0.6363636364,0.6428571429,0.6923076923,0.7777777778,0.375,0.9565217391,0.625,0.09572124827,0.5278734909,0
CH27H01,0.4657485876,0.5233050847,29.2,31,68,96,31.2,62,66,77,77,72,14,1.061643836,238,256,149.4931186,0.7096774194,0.5574712644,0.4117647059,0.4705882353,0.6545454545,0.6830985915,0.5454545455,0.5,0.5384615385,0.5555555556,0.25,0.4347826087,0.4,0.5557371506,0.4333653421,0
CH27H02,0.642461964,0.6210235131,28,30.4,70,96,30.1,55,66,77,76,71,16,1.085714286,238,NA,NA,0.5161290323,0.5229885057,0.5294117647,0.4705882353,0.5545454545,0.1901408451,0.5454545455,0.5,0.4615384615,0.5,0.5,0.4347826087,NA,NA,0.4743003841,0
CH27H03,0.340112202,0.5063113604,27.9,26.5,68,95,29.4,56,67,76,76,72,16,0.9498207885,238,264,149.4931186,0.5,0.2988505747,0.4117647059,0.4117647059,0.4909090909,0.2605633803,0.6363636364,0.4285714286,0.4615384615,0.5555555556,0.5,0.4347826087,0.6,0.5557371506,0.2431951911,0
CH27H04,0.6836874572,0.4640164496,28.7,28.5,66,92,28.2,54.8,64,73,72,69,14,0.9930313589,238,250,137.9838,0.6290322581,0.4137931034,0.2941176471,0.2352941176,0.3818181818,0.176056338,0.3636363636,0.2142857143,0.1538461538,0.3888888889,0.25,0.4347826087,0.25,0.4747239672,0.3166805852,0
CH27H05,0.5559006211,0.6397515528,30.7,33.2,70,99,30.3,58.4,69,79,77,73,15,1.081433225,238,NA,NA,0.9516129032,0.683908046,0.5294117647,0.6470588235,0.5727272727,0.4295774648,0.8181818182,0.6428571429,0.5384615385,0.6111111111,0.375,0.4347826087,NA,NA,0.4670198634,0
CH28H01,0.04942279942,0.06565656566,24.8,26.5,69,93,28.3,56.8,64,76,76,73,16,1.068548387,239,253,95.9694439,0,0.2988505747,0.4705882353,0.2941176471,0.3909090909,0.3169014085,0.3636363636,0.4285714286,0.4615384615,0.6111111111,0.5,0.4782608696,0.325,0.1789882383,0.4451074617,0
CH28H02,0.4370677732,0.3098201936,26.5,27.6,65,92,29,52.6,64,75,74,68,15,1.041509434,239,NA,NA,0.2741935484,0.3620689655,0.2352941176,0.2352941176,0.4545454545,0.02112676056,0.3636363636,0.3571428571,0.3076923077,0.3333333333,0.375,0.4782608696,NA,NA,0.3991240805,0
CH28H03,0.1840447866,0.2323303009,26,27.6,67,95,30.3,54.4,66,76,77,73,19,1.061538462,239,254,161.5504186,0.1935483871,0.3620689655,0.3529411765,0.4117647059,0.5727272727,0.1478873239,0.5454545455,0.4285714286,0.5384615385,0.6111111111,0.875,0.4782608696,0.35,0.6406075312,0.4331861393,0
CH28H04,0.1077464789,0.1338028169,27.2,31.3,71,99,33.3,59.3,68,80,80,75,16,1.150735294,239,249,84.1399332,0.3870967742,0.5747126437,0.5882352941,0.6470588235,0.8454545455,0.4929577465,0.7272727273,0.7142857143,0.7692307692,0.7222222222,0.5,0.4782608696,0.225,0.09572124827,0.5848773653,0
