reference,aims_ancestry,aims_heterozygosity,tarsus.length,weight,tail.length,wing.cord,kipps,distal,carpal,p7,p8,p9,p10,bodyCondition,releaseDay,fall_detectDay1,fall_bearing1,range_norm_tarsus.length,range_norm_weight,range_norm_tail.length,range_norm_wing.cord,range_norm_kipps,range_norm_distal,range_norm_carpal,range_norm_p7,range_norm_p8,range_norm_p9,range_norm_p10,range_norm_releaseDay,range_norm_fall_detectDay1,range_norm_fall_bearing1,range_norm_bodyCondition,t5_spring40
AH26H04,0.07689556509,0.1223175966,27,NA,66,92,32.2,NA,NA,NA,NA,68,NA,NA,237,253,105.0084614,0.3548387097,NA,0.2941176471,0.2352941176,0.7454545455,NA,NA,NA,NA,0.3333333333,NA,0.3913043478,0.325,0.2426131678,NA,0
AH26H05,0.03715967623,0.06548933039,27.5,30.6,68,100,28.2,NA,NA,NA,NA,75,NA,1.112727273,237,NA,NA,0.435483871,0.5344827586,0.4117647059,0.7058823529,0.3818181818,NA,NA,NA,NA,0.7222222222,NA,0.3913043478,NA,NA,0.5202396064,0
AH26H06,0.3617176128,0.6011644833,29.1,28,68,94,28.8,NA,NA,NA,NA,67,NA,0.9621993127,237,NA,NA,0.6935483871,0.3850574713,0.4117647059,0.3529411765,0.4363636364,NA,NA,NA,NA,0.2777777778,NA,0.3913043478,NA,NA,0.2642465385,0
AH26H07,0.06666666667,0.08561403509,27.5,NA,65,92,28.5,NA,NA,NA,NA,72,NA,NA,237,NA,NA,0.435483871,NA,0.2352941176,0.2352941176,0.4090909091,NA,NA,NA,NA,0.5555555556,NA,0.3913043478,NA,NA,NA,0
AH26H08,0.1151154654,0.1686494052,26.8,29.1,67,94,28.9,NA,NA,NA,NA,68,NA,1.085820896,237,256,149.4931186,0.3225806452,0.4482758621,0.3529411765,0.3529411765,0.4454545455,NA,NA,NA,NA,0.3333333333,NA,0.3913043478,0.4,0.5557371506,0.4744816884,0
AH26H09,0.8361601085,0.2964721845,28.5,28.3,68,93,26.6,NA,NA,NA,NA,72,NA,0.9929824561,237,248,174.4921726,0.5967741935,0.4022988506,0.4117647059,0.2941176471,0.2363636364,NA,NA,NA,NA,0.5555555556,NA,0.3913043478,0.2,0.7317035141,0.3165974195,0
AH26H10,0.3145743146,0.4098124098,26.6,29.1,66,92,27.5,NA,NA,NA,NA,66,NA,1.093984962,237,255,137.9838,0.2903225806,0.4482758621,0.2941176471,0.2352941176,0.3181818182,NA,NA,NA,NA,0.2222222222,NA,0.3913043478,0.375,0.4747239672,0.4883657836,1
AH26H11,0.2142857143,0.3338119167,25.5,27.9,72,96,26.8,NA,NA,NA,NA,66,NA,1.094117647,237,259,105.0084614,0.1129032258,0.3793103448,0.6470588235,0.4705882353,0.2545454545,NA,NA,NA,NA,0.2222222222,NA,0.3913043478,0.475,0.2426131678,0.4885914317,0
AH26H12,0.956861413,0.06997282609,28.5,29.3,73,93,28.9,NA,NA,NA,NA,71,NA,1.028070175,237,NA,NA,0.5967741935,0.4597701149,0.7058823529,0.2941176471,0.4454545455,NA,NA,NA,NA,0.5,NA,0.3913043478,NA,NA,0.3762688115,0
AH26H13,0.06557377049,0.09123307199,25.3,29.3,67,98,28.4,NA,NA,NA,NA,71,NA,1.158102767,237,NA,NA,0.08064516129,0.4597701149,0.3529411765,0.5882352941,0.4,NA,NA,NA,NA,0.5,NA,0.3913043478,NA,NA,0.5974067448,0
