"StoreID","Utility_Socio","Utility_Traffic","Distance"
"ATTITUDE DANCE BOUTIQUE",102.748286995858,103.635332185703,0
"ATTITUDE DANCE BOUTIQUE",101.515622804573,102.353486465314,0.0196097200247629
"ATTITUDE DANCE BOUTIQUE",102.363443316836,104.26123617948,0.0194787746793792
"ATTITUDE DANCE BOUTIQUE",106.693323329347,101.919516652596,0.0168197471731886
"ATTITUDE DANCE BOUTIQUE",107.349150201544,103.319031676613,0.0168197471731886
"ATTITUDE DANCE BOUTIQUE",101.830755141937,103.031854720494,0.0194787746793792
"ATTITUDE DANCE BOUTIQUE",104.205562602338,102.811890185632,0
"ATTITUDE DANCE BOUTIQUE",107.041644507367,104.495161540015,0.0168197471731886
"ATTITUDE DANCE BOUTIQUE",97.7229165635222,102.768859358056,0.0354564443059329
"ATTITUDE DANCE BOUTIQUE",102.318733298332,105.352268375325,0.0194787746793792
"ATTITUDE DANCE BOUTIQUE",102.720405919068,104.034654755613,0
"ATTITUDE DANCE BOUTIQUE",108.149432613571,103.35504691036,0.0168197471731886
"ATTITUDE DANCE BOUTIQUE",107.806919335515,104.412681546064,0.0168197471731886
"ATTITUDE DANCE BOUTIQUE",102.338284800183,104.476935702289,0.0403168767095138
"ATTITUDE DANCE BOUTIQUE",103.319749312198,103.916757650568,0
"ATTITUDE DANCE BOUTIQUE",104.442517896323,103.864216294345,0
"ATTITUDE DANCE BOUTIQUE",103.746731751774,102.034448873985,0.0270833787125993
"ATTITUDE DANCE BOUTIQUE",101.883988270405,104.613230172782,0
"ATTITUDE DANCE BOUTIQUE",101.937072153131,103.692899900628,0.0149752407676738
"ATTITUDE DANCE BOUTIQUE",102.752481426184,102.625420860981,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",103.553793161395,103.027637916571,0.0107400077104263
"ATTITUDE DANCE BOUTIQUE",101.022362222556,105.288438742509,0.0107400077104263
"ATTITUDE DANCE BOUTIQUE",102.024736126474,102.134225683547,0.0107400077104263
"ATTITUDE DANCE BOUTIQUE",101.881310267511,103.155178934174,0.0194787746793792
"ATTITUDE DANCE BOUTIQUE",102.767338674201,102.643377566943,0.0107400077104263
"ATTITUDE DANCE BOUTIQUE",101.585583278717,103.503278705905,0.0107400077104263
"ATTITUDE DANCE BOUTIQUE",102.318896413145,104.142404416214,0.0107400077104263
"ATTITUDE DANCE BOUTIQUE",102.923653221864,103.575614574304,0.0107400077104263
"ATTITUDE DANCE BOUTIQUE",104.402937613994,104.64668348683,0
"ATTITUDE DANCE BOUTIQUE",101.387085411722,103.118851140241,0
"ATTITUDE DANCE BOUTIQUE",104.325786220737,105.121303387652,0
"ATTITUDE DANCE BOUTIQUE",104.653790248941,101.590190768227,0
"ATTITUDE DANCE BOUTIQUE",102.965722528323,105.266860363319,0
"ATTITUDE DANCE BOUTIQUE",102.93977616553,103.35826983014,0
"ATTITUDE DANCE BOUTIQUE",100.794569823374,102.894029352262,0.011471474878582
"ATTITUDE DANCE BOUTIQUE",100.902277279187,102.646280244458,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",102.081537712242,104.493433899406,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",102.69122031406,103.677687023161,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",102.597903933689,105.061884676254,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",103.427265148654,101.836770597954,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",102.944227905251,104.252449463439,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",103.283788376437,102.727990553763,0.0107400077104263
"ATTITUDE DANCE BOUTIQUE",101.755011231561,104.382298918971,0.0149752407676738
"ATTITUDE DANCE BOUTIQUE",102.395508439483,103.724395982212,0
"ATTITUDE DANCE BOUTIQUE",101.994516057483,103.298238037724,0.0149752407676738
"ATTITUDE DANCE BOUTIQUE",105.039638844633,102.345621971634,0.0168197471731886
"ATTITUDE DANCE BOUTIQUE",100.57426153861,102.67573709282,0.0423118286044175
"ATTITUDE DANCE BOUTIQUE",101.834432803178,102.967745267897,0.0423118286044175
"ATTITUDE DANCE BOUTIQUE",101.763236238263,104.516332177002,0.0194787746793792
"ATTITUDE DANCE BOUTIQUE",101.405413938098,104.735067388005,0.0194787746793792
"ATTITUDE DANCE BOUTIQUE",101.116448935504,101.792274299282,0.0194787746793792
"ATTITUDE DANCE BOUTIQUE",102.203796031509,104.519300470053,0.0194787746793792
"ATTITUDE DANCE BOUTIQUE",102.502910869663,103.900655046355,0.0310931253181454
"ATTITUDE DANCE BOUTIQUE",103.783645735264,103.981453717708,0.0403168767095138
"ATTITUDE DANCE BOUTIQUE",103.32545141766,103.828524432287,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",102.101090826158,104.207130947712,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",102.853270417909,103.484845683798,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",104.072956903715,104.139208688186,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",101.813864064796,103.651674475787,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",103.5569949708,103.064062828377,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",103.669835586195,101.835545938134,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",102.017777525757,104.068327501631,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",101.435844885678,102.860361584767,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",102.046508509224,103.255119635809,0.0137372716621591
"ATTITUDE DANCE BOUTIQUE",98.9608382437058,102.438138861512,0.0801873442885422
