reference,sex_binary,range_norm_tarsus.length,range_norm_tail.length,range_norm_wing.cord,range_norm_kipps,range_norm_distal,range_norm_p10,range_norm_releaseDay,range_norm_fall_detectDay1,range_norm_fall_bearing1,range_norm_bodyCondition,t5_spring40
DH30H16,1,0.6451612903,0.5882352941,0.6470588235,0.7272727273,0.7957746479,0.5,0.5652173913,NA,NA,0.6887355693,0
DH30H17,1,0.2741935484,0.4705882353,0.3529411765,0.6545454545,0.5492957746,0.25,0.5652173913,NA,NA,0.6429886749,0
DH30H18,1,0.4516129032,0.5294117647,0.7058823529,0.9272727273,0.6338028169,0.625,0.5652173913,0.45,0.1789882383,0.6859114478,0
DH31H01,0,0.3225806452,0.4117647059,0.1176470588,0.05454545455,0.2957746479,0.5,0.6086956522,0.5,0.5557371506,0.5252469025,0
DH31H02,1,0.5483870968,0.5294117647,0.5882352941,0.6909090909,0.5845070423,0.625,0.6086956522,0.525,0.6406075312,0.5215115188,0
DH31H03,0,0,0.2941176471,0.2352941176,0.5181818182,0.5422535211,0.375,0.6086956522,0.5,0.2426131678,0.4382500638,0
DH31H04,1,0.8387096774,0.4705882353,0.4117647059,0.2727272727,0.6478873239,0.375,0.6086956522,NA,NA,0.4589136894,1
DH31H05,1,0.7741935484,0.4117647059,0.4705882353,0.5818181818,0.7323943662,0.125,0.6086956522,0.55,0.4747239672,0.3974763468,0
DH31H06,1,0.6290322581,0.7647058824,0.6470588235,0.5727272727,0.7957746479,0.5,0.6086956522,0.575,0.8460373957,0.4944472756,0
DH31H07,1,0.6935483871,0.4117647059,0.5882352941,0.7636363636,0.7535211268,0.5,0.6086956522,0.5,0.3012355652,0.4571020167,0
DH31H08,1,0.6451612903,0.4705882353,0.4705882353,0.5454545455,0.7394366197,0.125,0.6086956522,0.65,0.2426131678,0.4643462724,1
DH31H09,1,0.3225806452,0.5294117647,0.4705882353,0.7272727273,0.7042253521,0.375,0.6086956522,0.55,0.2426131678,0.4808273402,0
DH31H10,1,0.5161290323,0.3529411765,0.3529411765,0.4454545455,0.4436619718,0.375,0.6086956522,0.7,0.09572124827,0.3589001742,0
DH31H11,0,0.6774193548,0.5294117647,0.2352941176,0.4272727273,0.3661971831,0.375,0.6086956522,0.225,0.8366263343,0.4692738776,0
DH31H12,1,0.6290322581,0.6470588235,0.6470588235,0.6727272727,0.6830985915,0.5,0.6086956522,0.5,0.4247813711,0.500372832,0
DH31H13,1,0.6774193548,0.4705882353,0.5882352941,0.4363636364,0.8661971831,0.25,0.6086956522,0.425,0.3012355652,0.3871742728,1
DH31H14,1,0.7258064516,0.4117647059,0.3529411765,0.5181818182,0.485915493,0.5,0.6086956522,0.4,0.6406075312,0.4504201897,1
DH31H15,1,0.8064516129,0.3529411765,0.4117647059,0.2272727273,0.4225352113,0.625,0.6086956522,0.625,0.1789882383,0.3570658367,0
DH31H16,0,0.6612903226,0.3529411765,0.2352941176,0.1727272727,0.2253521127,0.5,0.6086956522,NA,NA,0.346185345,0
DH31H17,1,0.5806451613,0.4705882353,0.5882352941,0.5818181818,0.661971831,0.5,0.6086956522,0.45,0.4747239672,0.592010309,0
DI01H01,0,0.1774193548,0.1764705882,0.2352941176,0.5181818182,0.4295774648,0.25,0.652173913,0.625,0.1789882383,0.4926856238,0
DI01H02,0,0.2741935484,0.2941176471,0.1764705882,0.5454545455,0.5070422535,0.25,0.652173913,0.575,0.5557371506,0.3477841659,0
DI01H03,1,0.5806451613,0.9411764706,0.2352941176,0.4818181818,0.4225352113,0.625,0.652173913,NA,NA,0.448294703,0
DI01H04,0,0.2580645161,0.2352941176,0.1764705882,0.2545454545,0.3802816901,0.25,0.652173913,NA,NA,0.4316004659,0
DI01H05,1,0.4838709677,0.2941176471,0.4705882353,0.5909090909,0.5352112676,0.5,0.652173913,0.5,0.2426131678,NA,0
DI01H06,1,0.3870967742,0.5294117647,0.7647058824,0.6545454545,0.8873239437,0.5,0.652173913,0.525,0.6406075312,0.5286063652,0
DI01H07,1,0.6290322581,0.4705882353,0.5882352941,0.4909090909,0.8873239437,0.25,0.652173913,0.55,0.09572124827,0.4825961629,1
DI01H08,1,0.3064516129,0.2941176471,0.4705882353,0.4909090909,0.3098591549,0.75,0.652173913,0.625,0.2426131678,0.4813977358,0
DI01H09,0,0.1129032258,0.2941176471,0.1176470588,0.1818181818,0.3521126761,0.5,0.652173913,0.675,0.4747239672,0.5419446763,1
DI01H10,1,0.8225806452,0.5882352941,0.3529411765,0.4363636364,0.5985915493,0.125,0.652173913,0.525,1,0.3569704048,0
DI01H11,1,0.4838709677,0.5294117647,0.4705882353,0.5818181818,0.661971831,0.375,0.652173913,0.55,0.4247813711,0.4325273433,1
DI01H12,1,0.8548387097,0.4705882353,0.7058823529,0.6,0.6197183099,0.5,0.652173913,0.775,0.3811471954,0.3793812396,0
DI01H14,1,0.3225806452,0.5882352941,0.7647058824,0.6818181818,0.7323943662,0.875,0.652173913,0.625,0.2426131678,0.512555599,1
DI01H15,1,0.8387096774,0.5294117647,0.6470588235,0.6363636364,0.8732394366,0.25,0.652173913,0.275,0.3012355652,0.5099327296,0
DI02H01,1,0.6451612903,0.4117647059,0.5882352941,0.6363636364,0.7253521127,0.5,0.6956521739,0.75,0.4247813711,0.3580566054,1
DI02H02,0,0.3870967742,0.2941176471,0.4117647059,0.6090909091,0.4929577465,0.375,0.6956521739,0.5,0.5557371506,0.453578365,0
DI02H03,1,0.7741935484,0.2941176471,0.3529411765,0.3,0.4647887324,0.375,0.6956521739,0.5,0.3522534907,0.4204578964,1
DI02H05,1,0.5483870968,0.4705882353,0.4705882353,0.5181818182,0.4929577465,0.5,0.6956521739,0.7,0.3160691026,0.4612053248,1
DI02H06,1,0.5806451613,0.4705882353,0.6470588235,0.5454545455,0.6690140845,0.5,0.6956521739,0.525,0.4747239672,0.3405079984,1
DI02H07,0,0.4838709677,0.3529411765,0.2941176471,0.3818181818,0.5845070423,0.125,0.6956521739,0.625,0.4747239672,0.3040621343,1
DI02H08,0,0.3387096774,0.4705882353,0.2352941176,0.3090909091,0.4366197183,0.25,0.6956521739,0.55,0.4747239672,0.3411758219,0
DI02H09,1,0.435483871,0.4117647059,0.5882352941,0.6090909091,0.2887323944,0.875,0.6956521739,0.425,0.09572124827,0.4645824717,0
DI02H10,1,0.6774193548,0.3529411765,0.1764705882,0.1818181818,0.5492957746,0.25,0.6956521739,0.55,0.2426131678,0.3343959554,0
DI03H01,1,0.564516129,0.4705882353,0.5294117647,0.5545454545,0.7605633803,0.25,0.7391304348,0.55,0.3092046257,0.3705968665,0
DI03H02,0,0.3548387097,0.2941176471,0.2941176471,0.3909090909,0.4225352113,0.5,0.7391304348,0.625,0.5557371506,0.4671019304,0
DI03H03,1,0.3387096774,0.3529411765,0.1764705882,0.1181818182,0.4647887324,0.25,0.7391304348,0.5,0.8203194798,0.4549729374,1
