reference,sex_binary,range_norm_tarsus.length,range_norm_tail.length,range_norm_wing.cord,range_norm_kipps,range_norm_distal,range_norm_p10,range_norm_releaseDay,range_norm_fall_detectDay1,range_norm_fall_bearing1,range_norm_bodyCondition,t5_spring40
EH29H27,1,0.5806451613,0.7647058824,0.7647058824,0.8181818182,0.6690140845,0.875,0.5217391304,0.425,0.4747239672,0.4423065527,0
EH29H28,0,0.5806451613,0.2352941176,0.3529411765,0.5,0.3450704225,0.375,0.5217391304,0.425,0.3012355652,0.6039866095,0
EH30H22,1,0.564516129,0.4117647059,0.4705882353,0.7363636364,0.5,0.375,0.5652173913,0.625,0.4747239672,0.4006434154,0
EH30H24,1,0.6612903226,0.5294117647,0.6470588235,0.7636363636,0.4507042254,0.75,0.5652173913,NA,NA,0.5580291104,0
EH31H01,0,0.3064516129,0.2941176471,0.2941176471,0.5454545455,0.3028169014,0.5,0.6086956522,0.425,0.09572124827,0.4368118081,1
EH31H02,1,0.3225806452,0.4117647059,0.5294117647,0.7181818182,0.7042253521,0.375,0.6086956522,0.6,0.4747239672,0.4681360366,0
EH31H03,1,0.5161290323,0.4117647059,0.3529411765,0.3454545455,0.4788732394,0.25,0.6086956522,0.825,0.4747239672,0.4682266888,0
EH31H07,0,0.6451612903,0.2941176471,0.4117647059,0.3909090909,0.4929577465,0.5,0.6086956522,0.9,0.4747239672,0.2812918459,0
EH31H08,0,0.3064516129,0.4705882353,0.2941176471,0.4,0.5985915493,0.25,0.6086956522,0.425,0.3522534907,0.5132448271,1
EH31H09,0,0.5483870968,0.4705882353,0.3529411765,0.4545454545,0.3873239437,0.5,0.6086956522,0.425,0.6406075312,0.3707460337,0
